Time,CO2,PIR,Occupancy
2/19/2022 2:30,5,0,0
2/19/2022 11:20,113,0,0
2/20/2022 3:50,97,0,0
2/20/2022 4:50,72,0,0
2/20/2022 5:10,92,0,0
2/20/2022 6:20,71,0,0
2/20/2022 16:30,201,0,0
2/20/2022 17:00,193,0,0
2/20/2022 17:40,148,0,0
2/21/2022 5:40,97,0,0
2/21/2022 6:10,93,0,0
2/21/2022 6:20,103,0,0
2/22/2022 4:00,180,0,0
2/22/2022 5:40,135,0,0
2/23/2022 3:10,159,0,0
2/23/2022 4:40,101,0,0
2/23/2022 6:10,115,0,0
2/24/2022 5:00,167,0,0
2/24/2022 6:00,154,0,0
2/24/2022 10:50,55,0,0
2/24/2022 12:00,30,0,0
2/25/2022 5:00,124,0,0
2/25/2022 6:10,109,0,0
2/27/2022 4:10,507,0,0
2/27/2022 6:30,517,0,0
2/27/2022 7:10,507,0,0
3/2/2022 2:00,699,0,0
3/2/2022 4:40,864,0,0
3/2/2022 5:20,821,0,0
3/2/2022 6:30,827,0,0
3/3/2022 2:30,787,0,0
3/3/2022 4:20,653,0,0
3/3/2022 5:20,639,0,0
3/3/2022 6:00,626,0,0
3/3/2022 13:00,753,0,0
3/3/2022 13:50,683,0,0
3/4/2022 5:10,632,0,0
3/4/2022 7:00,622,0,0
3/4/2022 8:21,621,0,0
3/5/2022 8:10,796,0,0
3/5/2022 12:10,1002,0,0
3/5/2022 12:30,939,0,0
3/5/2022 13:20,824,0,0
3/5/2022 13:50,772,0,0
3/5/2022 14:10,767,0,0
3/7/2022 1:10,949,0,0
3/7/2022 3:40,1135,0,0
3/7/2022 5:30,1123,0,0
3/7/2022 6:10,1117,0,0
3/7/2022 6:40,1084,0,0
3/7/2022 7:00,1098,0,0
3/7/2022 10:00,521,0,0
3/7/2022 11:10,381,0,0
3/7/2022 12:20,399,0,0
3/7/2022 13:10,462,0,0
3/8/2022 7:00,389,0,0
3/8/2022 10:10,525,0,0
3/8/2022 11:10,461,0,0
3/10/2022 2:00,481,0,0
3/10/2022 3:50,431,0,0
3/10/2022 5:30,413,0,0
3/10/2022 7:10,447,0,0
3/10/2022 11:40,396,0,0
3/10/2022 13:50,408,0,0
3/11/2022 4:40,526,0,0
3/11/2022 6:10,497,0,0
3/11/2022 7:10,484,0,0
3/15/2022 5:10,562,0,0
3/16/2022 2:50,567,0,0
3/16/2022 5:30,538,0,0
3/16/2022 7:10,539,0,0
3/16/2022 7:50,533,0,0
3/16/2022 8:10,550,0,0
3/20/2022 4:30,478,0,0
3/30/2022 5:45,399,0,0
3/31/2022 9:40,417,0,0
2/20/2022 7:00,151,1,1
2/20/2022 12:30,316,1,1
2/20/2022 19:30,266,1,1
2/21/2022 12:30,358,1,1
2/21/2022 13:30,425,1,1
2/21/2022 18:10,333,1,1
2/21/2022 18:50,379,1,1
2/21/2022 20:20,364,1,1
2/22/2022 7:10,238,1,1
2/22/2022 10:20,574,1,1
2/22/2022 13:40,408,1,1
2/22/2022 15:10,528,1,1
2/22/2022 16:20,540,1,1
2/22/2022 19:40,115,1,1
2/22/2022 20:20,108,1,1
2/23/2022 6:40,253,1,1
2/23/2022 9:50,442,1,1
2/23/2022 13:00,333,1,1
2/23/2022 14:10,380,1,1
2/23/2022 15:50,407,1,1
2/23/2022 16:10,107,1,1
2/23/2022 17:10,59,1,1
2/23/2022 18:10,188,1,1
2/23/2022 19:00,229,1,1
2/23/2022 19:40,265,1,1
2/24/2022 8:40,133,1,1
2/24/2022 12:40,190,1,1
2/24/2022 13:20,137,1,1
2/24/2022 15:20,169,1,1
2/24/2022 16:30,60,1,1
2/24/2022 18:30,266,1,1
2/25/2022 7:40,263,1,1
2/25/2022 12:50,206,1,1
2/25/2022 14:40,194,1,1
2/25/2022 15:20,281,1,1
2/25/2022 17:40,245,1,1
2/25/2022 18:50,339,1,1
2/27/2022 8:50,785,1,1
3/1/2022 7:00,559,1,1
3/1/2022 8:20,823,1,1
3/1/2022 8:40,1030,1,1
3/1/2022 9:50,778,1,1
3/1/2022 13:00,519,1,1
3/1/2022 16:40,879,1,1
3/1/2022 17:30,580,1,1
3/1/2022 19:30,911,1,1
3/1/2022 20:40,783,1,1
3/2/2022 11:40,701,1,1
3/2/2022 12:20,1098,1,1
3/2/2022 14:20,978,1,1
3/2/2022 15:40,1028,1,1
3/2/2022 17:20,461,1,1
3/2/2022 19:10,900,1,1
3/2/2022 20:30,1011,1,1
3/2/2022 20:40,888,1,1
3/2/2022 21:00,1123,1,1
3/3/2022 7:50,1016,1,1
3/3/2022 8:10,1237,1,1
3/3/2022 8:40,1402,1,1
3/3/2022 9:10,1402,1,1
3/3/2022 11:30,889,1,1
3/3/2022 15:30,585,1,1
3/3/2022 16:40,857,1,1
3/3/2022 18:00,806,1,1
3/3/2022 18:40,1011,1,1
3/3/2022 20:10,1165,1,1
3/4/2022 8:40,1120,1,1
3/4/2022 9:30,1412,1,1
3/4/2022 14:00,1458,1,1
3/4/2022 15:10,1452,1,1
3/4/2022 16:40,1149,1,1
3/4/2022 17:30,870,1,1
3/4/2022 19:00,1130,1,1
3/4/2022 20:50,1457,1,1
3/5/2022 9:40,1135,1,1
3/5/2022 10:00,1108,1,1
3/5/2022 10:10,1200,1,1
3/5/2022 10:30,1329,1,1
3/6/2022 8:00,906,1,1
3/7/2022 7:10,1079,1,1
3/7/2022 7:50,1024,1,1
3/7/2022 14:40,497,1,1
3/7/2022 16:20,661,1,1
3/7/2022 19:00,659,1,1
3/8/2022 7:30,527,1,1
3/8/2022 8:00,675,1,1
3/8/2022 8:50,559,1,1
3/8/2022 11:50,631,1,1
3/8/2022 13:40,494,1,1
3/8/2022 15:20,639,1,1
3/8/2022 16:20,416,1,1
3/8/2022 17:00,372,1,1
3/8/2022 17:40,462,1,1
3/8/2022 18:20,401,1,1
3/8/2022 19:00,777,1,1
3/10/2022 8:40,923,1,1
3/10/2022 18:50,744,1,1
3/11/2022 12:00,652,1,1
3/11/2022 12:50,457,1,1
3/11/2022 15:10,425,1,1
3/14/2022 15:00,590,1,1
3/14/2022 15:50,393,1,1
3/15/2022 6:10,911,1,1
3/15/2022 10:20,776,1,1
3/15/2022 13:00,1257,1,1
3/15/2022 14:10,1282,1,1
3/15/2022 23:30,908,1,1
3/20/2022 7:40,846,1,1
3/20/2022 13:10,754,1,1
3/20/2022 17:40,888,1,1
2/18/2022 22:50,318,1,2
2/19/2022 8:30,333,1,2
2/19/2022 10:00,367,1,2
2/19/2022 13:50,344,1,2
2/19/2022 14:30,348,1,2
2/19/2022 14:40,10,1,2
2/19/2022 15:20,215,1,2
2/19/2022 16:40,398,1,2
2/19/2022 18:40,541,1,2
2/19/2022 19:00,654,1,2
2/19/2022 19:30,826,1,2
2/19/2022 20:20,991,1,2
2/19/2022 23:50,372,1,2
2/20/2022 7:20,384,1,2
2/20/2022 7:40,394,1,2
2/20/2022 13:50,648,1,2
2/20/2022 14:10,612,1,2
2/20/2022 14:30,616,1,2
2/20/2022 16:20,581,1,2
2/20/2022 18:20,390,1,2
2/20/2022 21:20,578,1,2
2/20/2022 22:10,593,1,2
2/21/2022 6:40,404,1,2
2/21/2022 6:50,517,1,2
2/21/2022 8:20,660,1,2
2/21/2022 21:20,559,1,2
2/21/2022 21:50,523,1,2
2/21/2022 22:50,538,1,2
2/21/2022 23:30,565,1,2
2/22/2022 8:10,724,1,2
2/22/2022 17:00,299,1,2
2/22/2022 17:40,457,1,2
2/22/2022 18:20,688,1,2
2/22/2022 18:40,375,1,2
2/22/2022 21:00,153,1,2
2/22/2022 22:40,223,1,2
2/23/2022 7:20,328,1,2
2/23/2022 7:50,656,1,2
2/23/2022 8:30,447,1,2
2/23/2022 20:20,444,1,2
2/23/2022 22:50,677,1,2
2/23/2022 23:10,691,1,2
2/23/2022 23:50,735,1,2
2/24/2022 6:50,330,1,2
2/24/2022 7:00,183,1,2
2/24/2022 8:20,231,1,2
2/24/2022 20:50,480,1,2
2/24/2022 21:40,565,1,2
2/24/2022 22:30,640,1,2
2/24/2022 22:50,617,1,2
2/25/2022 8:10,497,1,2
2/25/2022 8:50,454,1,2
2/25/2022 21:10,489,1,2
2/25/2022 21:50,512,1,2
2/26/2022 11:00,387,1,2
2/26/2022 11:30,462,1,2
2/26/2022 12:20,587,1,2
2/26/2022 12:50,589,1,2
2/26/2022 13:10,504,1,2
2/26/2022 13:40,582,1,2
2/26/2022 15:20,271,1,2
2/26/2022 15:50,484,1,2
2/26/2022 16:30,631,1,2
2/26/2022 16:50,479,1,2
2/26/2022 17:20,531,1,2
2/26/2022 18:40,673,1,2
2/26/2022 19:50,512,1,2
2/26/2022 20:50,600,1,2
2/26/2022 21:40,619,1,2
2/26/2022 21:50,612,1,2
2/26/2022 22:30,1298,1,2
2/27/2022 9:30,1101,1,2
2/27/2022 10:10,1260,1,2
2/27/2022 10:40,1142,1,2
2/27/2022 11:00,1075,1,2
2/27/2022 11:10,1028,1,2
2/27/2022 11:40,743,1,2
2/27/2022 12:20,942,1,2
2/27/2022 13:20,1131,1,2
2/27/2022 13:40,993,1,2
2/27/2022 14:40,1081,1,2
2/27/2022 15:40,1197,1,2
2/27/2022 16:30,1116,1,2
2/27/2022 18:10,999,1,2
2/27/2022 19:00,1020,1,2
2/27/2022 19:30,899,1,2
2/27/2022 20:40,1043,1,2
2/27/2022 21:30,1146,1,2
2/27/2022 21:40,1084,1,2
3/1/2022 22:30,1285,1,2
3/1/2022 23:20,1056,1,2
3/1/2022 23:30,1292,1,2
3/2/2022 7:30,1047,1,2
3/2/2022 8:00,1315,1,2
3/2/2022 8:40,1449,1,2
3/2/2022 21:50,1338,1,2
3/2/2022 22:50,1441,1,2
3/3/2022 19:30,1248,1,2
3/3/2022 20:50,1259,1,2
3/3/2022 23:20,1483,1,2
3/4/2022 22:10,1578,1,2
3/4/2022 22:50,1564,1,2
3/4/2022 23:00,1638,1,2
3/5/2022 14:50,1204,1,2
3/5/2022 15:30,1252,1,2
3/5/2022 15:50,1300,1,2
3/5/2022 16:40,1281,1,2
3/5/2022 17:00,1208,1,2
3/5/2022 17:30,1413,1,2
3/5/2022 18:20,1485,1,2
3/5/2022 18:40,1576,1,2
3/5/2022 18:50,1646,1,2
3/5/2022 19:00,1457,1,2
3/6/2022 8:40,1180,1,2
3/6/2022 9:40,810,1,2
3/6/2022 10:40,695,1,2
3/6/2022 13:00,744,1,2
3/6/2022 16:00,702,1,2
3/6/2022 16:20,906,1,2
3/6/2022 17:30,866,1,2
3/6/2022 18:10,1115,1,2
3/6/2022 18:50,964,1,2
3/6/2022 20:10,741,1,2
3/6/2022 22:30,645,1,2
3/6/2022 23:10,632,1,2
3/7/2022 19:30,899,1,2
3/7/2022 20:20,697,1,2
3/7/2022 21:00,879,1,2
3/7/2022 21:30,1037,1,2
3/8/2022 20:40,871,1,2
3/8/2022 21:30,924,1,2
3/8/2022 22:30,928,1,2
3/8/2022 22:50,955,1,2
3/8/2022 23:10,935,1,2
3/10/2022 22:10,1159,1,2
3/10/2022 22:40,1211,1,2
3/10/2022 23:30,1319,1,2
3/11/2022 20:00,831,1,2
3/11/2022 21:00,792,1,2
3/11/2022 21:30,811,1,2
3/11/2022 21:50,738,1,2
3/14/2022 17:40,931,1,2
3/20/2022 22:30,1026,1,2
3/20/2022 22:40,1017,1,2
3/29/2022 11:30,1044,1,2
3/30/2022 12:30,887,1,2
3/30/2022 13:50,906,1,2
4/1/2022 10:10,1003,1,2
4/1/2022 13:27,954,1,2
4/1/2022 14:58,861,1,2
4/1/2022 16:20,943,1,2
4/1/2022 19:45,895,1,2
4/1/2022 22:04,1060,1,2
4/2/2022 9:30,870,1,2
4/2/2022 13:53,941,1,2
4/2/2022 18:25,1080,1,2
